company_name,roce_percentage,roe_percentage
Nestle India Ltd,185.43,135.61
Adani Green Energy Ltd,96.5,14.7
Tata Consultancy Services Ltd,64.3,0.52
Life Insurance Corporation of India,63.79,63.61
Coal India Ltd,63.6,52.0
Indian Railway Catering & Tourism Corporation Ltd,53.8,40.4
Britannia Industries Ltd,48.9,57.1
Abbott India Ltd,46.0,34.9
"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",41.75,31.45
Infosys Ltd,40.0,31.8
