id,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,broad_sector,sub_sector
360,DIVISLAB,Mar 2021,28.47,41.0,21.34,0.0005,1462.0,0.647,2022.0,75.0,75.0,17.5377,27.0,5,1947.0,Healthcare,Pharmaceuticals
150,BAJAJ-AUTO,Mar 2019,16.23,17.0,21.21,0.0054,1806.5,1.0529,2214.0,273.0,170.0,8.0391,35.0,125,2487.0,Consumer Discretionary,Two Wheelers
151,BAJAJ-AUTO,Mar 2019,16.23,17.0,21.21,0.0054,1806.5,1.0529,2214.0,273.0,170.0,8.0391,35.0,125,2487.0,Consumer Discretionary,Two Wheelers
1090,TECHM,Mar 2019,12.35,18.0,21.14,0.0984,51.1654,1.0387,2328.0,2104.0,44.0,4.5687,29.0,1996,4432.0,Information Technology,IT Services
1089,TECHM,Mar 2019,12.35,18.0,21.14,0.0984,51.1654,1.0387,2328.0,2104.0,44.0,4.5687,29.0,1996,4432.0,Information Technology,IT Services
513,HEROMOTOCO,Mar 2024,9.9,5235.0,21.14,0.0342,47.2685,1.4449,3095.0,1828.0,187.0,44.2475,75.0,606,4923.0,Consumer Discretionary,Two Wheelers
1095,TECHM,Mar 2022,12.61,18.0,20.94,0.0974,56.0429,1.0052,5765.0,480.0,57.0,6.1244,47.0,2618,5285.0,Information Technology,IT Services
1096,TECHM,Mar 2022,12.61,18.0,20.94,0.0974,56.0429,1.0052,5765.0,480.0,57.0,6.1244,47.0,2618,5285.0,Information Technology,IT Services
1006,SUNPHARMA,Mar 2014,24.12,44.0,20.94,0.1382,114.4318,0.5527,1783.0,2176.0,15.0,8.9493,10.0,2561,3959.0,Healthcare,Pharmaceuticals
849,PIDILITIND,Mar 2024,14.11,22.0,20.78,0.0454,54.3333,1.0254,955.0,1769.0,34.0,16.4843,47.0,382,2724.0,Materials,Specialty Chemicals
349,DABUR,Mar 2022,16.0,21.0,20.78,0.1229,65.641,0.8864,529.0,1273.0,10.0,4.7356,53.0,1030,1802.0,Consumer Staples,Personal Products
