Metric,Company,Sector Average
return_on_equity_pct,25.07526047940048,1025.7898470185144
debt_to_equity,0.02021436545810513,0.6406837393444872
operating_profit_margin_pct,17.878431266928082,18.895773285531984
net_profit_margin_pct,13.646582446130013,12.17647632827957
asset_turnover,1.4054337706038398,22.906614641703197
interest_coverage,inf,inf
free_cash_flow_cr,296.5833333333333,-111.37068965517241
revenue_cagr_5yr,0.0,0.0
pat_cagr_5yr,0.0,0.0
sales,3791.6923076923076,37490.25581395349
