company_id,year,old_pattern,new_pattern
CANBK,2018-03-01,Mixed,Growth Funded by Debt
CANBK,2019-03-01,Growth Funded by Debt,Reinvestor
CANBK,2020-03-01,Reinvestor,Growth Funded by Debt
CANBK,2021-03-01,Growth Funded by Debt,Mixed
CANBK,2023-03-01,Mixed,Growth Funded by Debt
CANBK,2024-03-01,Growth Funded by Debt,Reinvestor
CHOLAFIN,2014-03-01,Distress Signal,Growth Funded by Debt
CHOLAFIN,2022-03-01,Growth Funded by Debt,Distress Signal
CHOLAFIN,2023-03-01,Distress Signal,Growth Funded by Debt
CIPLA,2014-03-01,Mixed,Reinvestor
CIPLA,2015-03-01,Reinvestor,Mixed
CIPLA,2017-03-01,Mixed,Reinvestor
CIPLA,2020-03-01,Reinvestor,Liquidating Assets
CIPLA,2021-03-01,Liquidating Assets,Reinvestor
COALINDIA,2014-03-01,Reinvestor,Liquidating Assets
COALINDIA,2018-03-01,Liquidating Assets,Reinvestor
COALINDIA,2020-03-01,Reinvestor,Liquidating Assets
COALINDIA,2022-03-01,Liquidating Assets,Reinvestor
DABUR,2019-03-01,Reinvestor,Liquidating Assets
DABUR,2020-03-01,Liquidating Assets,Reinvestor
DIVISLAB,2017-03-01,Reinvestor,Mixed
DIVISLAB,2018-03-01,Mixed,Reinvestor
DIVISLAB,2021-03-01,Reinvestor,Liquidating Assets
DIVISLAB,2022-03-01,Liquidating Assets,Reinvestor
DLF,2016-03-01,Liquidating Assets,Reinvestor
DLF,2017-03-01,Reinvestor,Distress Signal
DLF,2018-03-01,Distress Signal,Reinvestor
DLF,2019-03-01,Reinvestor,Cash Accumulator
DLF,2020-03-01,Cash Accumulator,Liquidating Assets
DLF,2023-03-01,Liquidating Assets,Reinvestor
DLF,2024-03-01,Reinvestor,Mixed
DMART,2018-03-01,Mixed,Liquidating Assets
DMART,2019-03-01,Liquidating Assets,Mixed
DMART,2021-03-01,Mixed,Reinvestor
EICHERMOT,2017-03-01,Reinvestor,Mixed
EICHERMOT,2018-03-01,Mixed,Reinvestor
GAIL,2014-03-01,Mixed,Reinvestor
GAIL,2020-03-01,Reinvestor,Mixed
GAIL,2021-03-01,Mixed,Reinvestor
GAIL,2023-03-01,Reinvestor,Mixed
GAIL,2024-03-01,Mixed,Reinvestor
GODREJCP,2014-03-01,Mixed,Reinvestor
GODREJCP,2017-03-01,Reinvestor,Mixed
GODREJCP,2018-03-01,Mixed,Reinvestor
GODREJCP,2019-03-01,Reinvestor,Liquidating Assets
GODREJCP,2020-03-01,Liquidating Assets,Reinvestor
GODREJCP,2024-03-01,Reinvestor,Mixed
GRASIM,2014-03-01,Mixed,Reinvestor
GRASIM,2018-03-01,Reinvestor,Distress Signal
GRASIM,2019-03-01,Distress Signal,Growth Funded by Debt
GRASIM,2020-03-01,Growth Funded by Debt,Reinvestor
GRASIM,2023-03-01,Reinvestor,Growth Funded by Debt
HAL,2019-03-01,Unknown,Distress Signal
HAL,2020-03-01,Distress Signal,Mixed
HAL,2021-03-01,Mixed,Reinvestor
HAVELLS,2019-03-01,Reinvestor,Liquidating Assets
HAVELLS,2020-03-01,Liquidating Assets,Reinvestor
HAVELLS,2021-03-01,Reinvestor,Mixed
HAVELLS,2022-03-01,Mixed,Reinvestor
HAVELLS,2023-03-01,Reinvestor,Liquidating Assets
HAVELLS,2024-03-01,Liquidating Assets,Reinvestor
HCLTECH,2022-03-01,Reinvestor,Liquidating Assets
HCLTECH,2023-03-01,Liquidating Assets,Reinvestor
HDFCBANK,2014-03-01,Growth Funded by Debt,Mixed
HDFCBANK,2015-03-01,Mixed,Growth Funded by Debt
HDFCBANK,2017-03-01,Growth Funded by Debt,Reinvestor
HDFCBANK,2018-03-01,Reinvestor,Mixed
HDFCBANK,2019-03-01,Mixed,Growth Funded by Debt
HDFCBANK,2021-03-01,Growth Funded by Debt,Reinvestor
HDFCBANK,2022-03-01,Reinvestor,Growth Funded by Debt
HDFCBANK,2023-03-01,Growth Funded by Debt,Mixed
HDFCBANK,2024-03-01,Mixed,Liquidating Assets
HDFCLIFE,2015-03-01,Unknown,Reinvestor
HDFCLIFE,2020-03-01,Reinvestor,Mixed
HDFCLIFE,2022-03-01,Mixed,Reinvestor
HDFCLIFE,2023-03-01,Reinvestor,Mixed
HDFCLIFE,2024-03-01,Mixed,Reinvestor
HEROMOTOCO,2015-03-01,Reinvestor,Liquidating Assets
HEROMOTOCO,2016-03-01,Liquidating Assets,Reinvestor
HEROMOTOCO,2019-03-01,Reinvestor,Liquidating Assets
HEROMOTOCO,2020-03-01,Liquidating Assets,Reinvestor
HINDALCO,2015-03-01,Mixed,Reinvestor
HINDALCO,2018-03-01,Reinvestor,Liquidating Assets
HINDALCO,2019-03-01,Liquidating Assets,Reinvestor
HINDALCO,2020-03-01,Reinvestor,Mixed
HINDALCO,2021-03-01,Mixed,Reinvestor
HINDUNILVR,2014-03-01,Liquidating Assets,Reinvestor
HINDUNILVR,2015-03-01,Reinvestor,Liquidating Assets
HINDUNILVR,2016-03-01,Liquidating Assets,Reinvestor
HINDUNILVR,2020-03-01,Reinvestor,Liquidating Assets
HINDUNILVR,2021-03-01,Liquidating Assets,Reinvestor
ICICIBANK,2015-03-01,Mixed,Growth Funded by Debt
ICICIBANK,2016-03-01,Growth Funded by Debt,Mixed
ICICIBANK,2017-03-01,Mixed,Reinvestor
ICICIBANK,2018-03-01,Reinvestor,Mixed
ICICIBANK,2019-03-01,Mixed,Reinvestor
ICICIBANK,2020-03-01,Reinvestor,Mixed
ICICIBANK,2021-03-01,Mixed,Reinvestor
ICICIBANK,2022-03-01,Reinvestor,Mixed
ICICIBANK,2023-03-01,Mixed,Growth Funded by Debt
ICICIBANK,2024-03-01,Growth Funded by Debt,Mixed
ICICIGI,2015-03-01,Mixed,Unknown
ICICIGI,2016-03-01,Unknown,Reinvestor
ICICIGI,2017-03-01,Reinvestor,Mixed
ICICIGI,2018-03-01,Mixed,Reinvestor
ICICIGI,2022-03-01,Reinvestor,Liquidating Assets
ICICIGI,2023-03-01,Liquidating Assets,Reinvestor
ICICIPRULI,2015-03-01,Unknown,Reinvestor
ICICIPRULI,2016-03-01,Reinvestor,Liquidating Assets
ICICIPRULI,2017-03-01,Liquidating Assets,Reinvestor
ICICIPRULI,2021-03-01,Reinvestor,Mixed
ICICIPRULI,2022-03-01,Mixed,Reinvestor
ICICIPRULI,2024-03-01,Reinvestor,Unknown
INDIGO,2015-03-01,Mixed,Reinvestor
INDIGO,2018-03-01,Reinvestor,Mixed
INDIGO,2019-03-01,Mixed,Reinvestor
INDIGO,2021-03-01,Reinvestor,Unknown
INDIGO,2022-03-01,Unknown,Liquidating Assets
INDIGO,2023-03-01,Liquidating Assets,Reinvestor
INDUSINDBK,2017-03-01,Growth Funded by Debt,Reinvestor
INDUSINDBK,2018-03-01,Reinvestor,Growth Funded by Debt
INDUSINDBK,2020-03-01,Growth Funded by Debt,Distress Signal
INDUSINDBK,2021-03-01,Distress Signal,Reinvestor
INDUSINDBK,2023-03-01,Reinvestor,Growth Funded by Debt
INDUSINDBK,2024-03-01,Growth Funded by Debt,Pre-Revenue
INFY,2015-03-01,Reinvestor,Liquidating Assets
INFY,2016-03-01,Liquidating Assets,Reinvestor
INFY,2018-03-01,Reinvestor,Liquidating Assets
INFY,2019-03-01,Liquidating Assets,Reinvestor
IOC,2014-03-01,Mixed,Reinvestor
IOC,2019-03-01,Reinvestor,Mixed
IOC,2021-03-01,Mixed,Reinvestor
IRCTC,2016-03-01,Reinvestor,Liquidating Assets
IRCTC,2019-03-01,Liquidating Assets,Reinvestor
IRCTC,2020-03-01,Reinvestor,Liquidating Assets
IRCTC,2021-03-01,Liquidating Assets,Reinvestor
IRFC,2021-03-01,Distress Signal,Unknown
IRFC,2022-03-01,Unknown,Growth Funded by Debt
IRFC,2023-03-01,Growth Funded by Debt,Unknown
IRFC,2024-03-01,Unknown,Reinvestor
ITC,2021-03-01,Reinvestor,Liquidating Assets
ITC,2022-03-01,Liquidating Assets,Reinvestor
ITC,2024-03-01,Reinvestor,Liquidating Assets
JINDALSTEL,2016-03-01,Mixed,Reinvestor
JINDALSTEL,2024-03-01,Reinvestor,Mixed
JIOFIN,2024-03-01,Reinvestor,Unknown
JSWENERGY,2020-03-01,Reinvestor,Liquidating Assets
JSWENERGY,2021-03-01,Liquidating Assets,Reinvestor
JSWENERGY,2023-03-01,Reinvestor,Mixed
JSWSTEEL,2014-03-01,Reinvestor,Mixed
JSWSTEEL,2015-03-01,Mixed,Reinvestor
JSWSTEEL,2019-03-01,Reinvestor,Mixed
JSWSTEEL,2021-03-01,Mixed,Reinvestor
KOTAKBANK,2014-03-01,Mixed,Reinvestor
KOTAKBANK,2015-03-01,Reinvestor,Mixed
KOTAKBANK,2018-03-01,Mixed,Growth Funded by Debt
KOTAKBANK,2019-03-01,Growth Funded by Debt,Mixed
KOTAKBANK,2020-03-01,Mixed,Reinvestor
KOTAKBANK,2022-03-01,Reinvestor,Mixed
KOTAKBANK,2023-03-01,Mixed,Growth Funded by Debt
KOTAKBANK,2024-03-01,Growth Funded by Debt,Mixed
LICI,2020-03-01,Liquidating Assets,Reinvestor
LICI,2021-03-01,Reinvestor,Liquidating Assets
LICI,2022-03-01,Liquidating Assets,Unknown
LICI,2023-03-01,Unknown,Reinvestor
LODHA,2017-03-01,Mixed,Reinvestor
LODHA,2018-03-01,Reinvestor,Mixed
LODHA,2019-03-01,Mixed,Growth Funded by Debt
LODHA,2020-03-01,Growth Funded by Debt,Liquidating Assets
LODHA,2024-03-01,Liquidating Assets,Mixed
LT,2017-03-01,Growth Funded by Debt,Mixed
LT,2018-03-01,Mixed,Distress Signal
LT,2019-03-01,Distress Signal,Growth Funded by Debt
LT,2020-03-01,Growth Funded by Debt,Mixed
LT,2021-03-01,Mixed,Reinvestor
LT,2024-03-01,Reinvestor,Liquidating Assets
LTIM,2014-03-01,Reinvestor,Liquidating Assets
LTIM,2015-03-01,Liquidating Assets,Reinvestor
M&M,2015-03-01,Growth Funded by Debt,Mixed
M&M,2019-03-01,Mixed,Growth Funded by Debt
M&M,2021-03-01,Growth Funded by Debt,Mixed
M&M,2022-03-01,Mixed,Reinvestor
M&M,2023-03-01,Reinvestor,Growth Funded by Debt
MOTHERSON,2015-03-01,Reinvestor,Mixed
MOTHERSON,2016-03-01,Mixed,Reinvestor
MOTHERSON,2017-03-01,Reinvestor,Mixed
MOTHERSON,2018-03-01,Mixed,Reinvestor
MOTHERSON,2024-03-01,Reinvestor,Mixed
NAUKRI,2014-03-01,Reinvestor,Mixed
NAUKRI,2016-03-01,Mixed,Reinvestor
NAUKRI,2020-03-01,Reinvestor,Liquidating Assets
NAUKRI,2021-03-01,Liquidating Assets,Mixed
NESTLEIND,2019-12-01,Reinvestor,Liquidating Assets
NESTLEIND,2020-12-01,Liquidating Assets,Reinvestor
NHPC,2020-03-01,Reinvestor,Mixed
NHPC,2021-03-01,Mixed,Reinvestor
NTPC,2014-03-01,Mixed,Reinvestor
NTPC,2017-03-01,Reinvestor,Mixed
NTPC,2021-03-01,Mixed,Reinvestor
ONGC,2014-03-01,Reinvestor,Mixed
ONGC,2015-03-01,Mixed,Reinvestor
ONGC,2018-03-01,Reinvestor,Mixed
ONGC,2019-03-01,Mixed,Reinvestor
PFC,2015-03-01,Distress Signal,Growth Funded by Debt
PFC,2017-03-01,Growth Funded by Debt,Mixed
PFC,2018-03-01,Mixed,Distress Signal
PFC,2019-03-01,Distress Signal,Growth Funded by Debt
PFC,2021-03-01,Growth Funded by Debt,Distress Signal
PFC,2022-03-01,Distress Signal,Reinvestor
PFC,2023-03-01,Reinvestor,Growth Funded by Debt
PIDILITIND,2017-03-01,Reinvestor,Mixed
PIDILITIND,2018-03-01,Mixed,Liquidating Assets
PIDILITIND,2019-03-01,Liquidating Assets,Reinvestor
PIDILITIND,2020-03-01,Reinvestor,Liquidating Assets
PIDILITIND,2021-03-01,Liquidating Assets,Reinvestor
PNB,2014-03-01,Pre-Revenue,Mixed
PNB,2017-03-01,Mixed,Liquidating Assets
PNB,2018-03-01,Liquidating Assets,Distress Signal
PNB,2019-03-01,Distress Signal,Growth Funded by Debt
PNB,2021-03-01,Growth Funded by Debt,Mixed
PNB,2024-03-01,Mixed,Growth Funded by Debt
POWERGRID,2019-03-01,Mixed,Reinvestor
POWERGRID,2022-03-01,Reinvestor,Liquidating Assets
POWERGRID,2023-03-01,Liquidating Assets,Reinvestor
RECLTD,2016-03-01,Distress Signal,Growth Funded by Debt
RECLTD,2017-03-01,Growth Funded by Debt,Reinvestor
RECLTD,2018-03-01,Reinvestor,Distress Signal
RECLTD,2022-03-01,Distress Signal,Growth Funded by Debt
RELIANCE,2016-03-01,Mixed,Reinvestor
RELIANCE,2017-03-01,Reinvestor,Mixed
RELIANCE,2018-03-01,Mixed,Reinvestor
RELIANCE,2019-03-01,Reinvestor,Mixed
RELIANCE,2020-03-01,Mixed,Reinvestor
RELIANCE,2021-03-01,Reinvestor,Mixed
RELIANCE,2024-03-01,Mixed,Reinvestor
SBILIFE,2021-03-01,Reinvestor,Mixed
SBILIFE,2022-03-01,Mixed,Reinvestor
SBIN,2014-03-01,Reinvestor,Mixed
SBIN,2015-03-01,Mixed,Reinvestor
SBIN,2016-03-01,Reinvestor,Mixed
SBIN,2017-03-01,Mixed,Reinvestor
SBIN,2018-03-01,Reinvestor,Distress Signal
SBIN,2019-03-01,Distress Signal,Cash Accumulator
SBIN,2020-03-01,Cash Accumulator,Mixed
SBIN,2022-03-01,Mixed,Reinvestor
SBIN,2023-03-01,Reinvestor,Growth Funded by Debt
SBIN,2024-03-01,Growth Funded by Debt,Reinvestor
SHREECEM,2018-03-01,Reinvestor,Mixed
SHREECEM,2019-03-01,Mixed,Reinvestor
SHREECEM,2020-03-01,Reinvestor,Mixed
SHREECEM,2021-03-01,Mixed,Reinvestor
SHRIRAMFIN,2018-03-01,Growth Funded by Debt,Distress Signal
SHRIRAMFIN,2019-03-01,Distress Signal,Growth Funded by Debt
SHRIRAMFIN,2023-03-01,Growth Funded by Debt,Distress Signal
SHRIRAMFIN,2024-03-01,Distress Signal,Growth Funded by Debt
SIEMENS,2018-09-01,Liquidating Assets,Reinvestor
SIEMENS,2020-09-01,Reinvestor,Liquidating Assets
SIEMENS,2021-09-01,Liquidating Assets,Reinvestor
SUNPHARMA,2014-03-01,Reinvestor,Mixed
SUNPHARMA,2015-03-01,Mixed,Reinvestor
SUNPHARMA,2021-03-01,Reinvestor,Liquidating Assets
SUNPHARMA,2022-03-01,Liquidating Assets,Reinvestor
SUNPHARMA,2023-03-01,Reinvestor,Mixed
SUNPHARMA,2024-03-01,Mixed,Reinvestor
TATACONSUM,2014-03-01,Cash Accumulator,Reinvestor
TATACONSUM,2016-03-01,Reinvestor,Liquidating Assets
TATACONSUM,2018-03-01,Liquidating Assets,Reinvestor
TATACONSUM,2019-03-01,Reinvestor,Liquidating Assets
TATACONSUM,2020-03-01,Liquidating Assets,Reinvestor
TATACONSUM,2024-03-01,Reinvestor,Mixed
TATAMOTORS,2015-03-01,Reinvestor,Mixed
TATAMOTORS,2016-03-01,Mixed,Reinvestor
TATAMOTORS,2017-03-01,Reinvestor,Mixed
TATAMOTORS,2022-03-01,Mixed,Reinvestor
TATAPOWER,2017-03-01,Reinvestor,Mixed
TATAPOWER,2018-03-01,Mixed,Reinvestor
TATAPOWER,2021-03-01,Reinvestor,Liquidating Assets
TATAPOWER,2022-03-01,Liquidating Assets,Reinvestor
TATAPOWER,2023-03-01,Reinvestor,Mixed
TATAPOWER,2024-03-01,Mixed,Reinvestor
TATASTEEL,2014-03-01,Reinvestor,Mixed
TATASTEEL,2015-03-01,Mixed,Reinvestor
TATASTEEL,2018-03-01,Reinvestor,Mixed
TATASTEEL,2019-03-01,Mixed,Reinvestor
TCS,1-03-18,Reinvestor,Liquidating Assets
TCS,1-03-21,Liquidating Assets,Reinvestor
TCS,1-03-23,Reinvestor,Liquidating Assets
TCS,2013-03-01,Liquidating Assets,Reinvestor
TCS,2018-03-01,Reinvestor,Liquidating Assets
TCS,2021-03-01,Liquidating Assets,Reinvestor
TCS,2023-03-01,Reinvestor,Liquidating Assets
TECHM,2014-03-01,Mixed,Liquidating Assets
TECHM,2015-03-01,Liquidating Assets,Reinvestor
TECHM,2020-03-01,Reinvestor,Liquidating Assets
TECHM,2021-03-01,Liquidating Assets,Reinvestor
TECHM,2022-03-01,Reinvestor,Liquidating Assets
TECHM,2023-03-01,Liquidating Assets,Reinvestor
TITAN,2014-03-01,Reinvestor,Growth Funded by Debt
TITAN,2015-03-01,Growth Funded by Debt,Reinvestor
TITAN,2018-03-01,Reinvestor,Unknown
TITAN,2019-03-01,Unknown,Reinvestor
TITAN,2020-03-01,Reinvestor,Unknown
TITAN,2021-03-01,Unknown,Reinvestor
TITAN,2022-03-01,Reinvestor,Unknown
TITAN,2023-03-01,Unknown,Mixed
TITAN,2024-03-01,Mixed,Reinvestor
TORNTPHARM,2016-03-01,Mixed,Reinvestor
TORNTPHARM,2018-03-01,Reinvestor,Mixed
TORNTPHARM,2019-03-01,Mixed,Reinvestor
TORNTPHARM,2020-03-01,Reinvestor,Liquidating Assets
TORNTPHARM,2021-03-01,Liquidating Assets,Reinvestor
TORNTPHARM,2023-03-01,Reinvestor,Mixed
TORNTPHARM,2024-03-01,Mixed,Reinvestor
TRENT,2014-03-01,Mixed,Pre-Revenue
TRENT,2015-03-01,Pre-Revenue,Growth Funded by Debt
TRENT,2016-03-01,Growth Funded by Debt,Reinvestor
TRENT,2019-03-01,Reinvestor,Mixed
TRENT,2021-03-01,Mixed,Liquidating Assets
TRENT,2023-03-01,Liquidating Assets,Reinvestor
TVSMOTOR,2015-03-01,Reinvestor,Mixed
TVSMOTOR,2016-03-01,Mixed,Reinvestor
TVSMOTOR,2018-03-01,Reinvestor,Mixed
TVSMOTOR,2019-03-01,Mixed,Growth Funded by Debt
TVSMOTOR,2020-03-01,Growth Funded by Debt,Mixed
TVSMOTOR,2022-03-01,Mixed,Growth Funded by Debt
ULTRACEMCO,2014-03-01,Mixed,Reinvestor
ULTRACEMCO,2018-03-01,Reinvestor,Liquidating Assets
ULTRACEMCO,2020-03-01,Liquidating Assets,Reinvestor
ULTRACEMCO,2022-03-01,Reinvestor,Liquidating Assets
ULTRACEMCO,2023-03-01,Liquidating Assets,Reinvestor
UNIONBANK,2014-03-01,Growth Funded by Debt,Mixed
UNIONBANK,2015-03-01,Mixed,Growth Funded by Debt
UNIONBANK,2016-03-01,Growth Funded by Debt,Reinvestor
UNIONBANK,2017-03-01,Reinvestor,Growth Funded by Debt
UNIONBANK,2018-03-01,Growth Funded by Debt,Mixed
UNIONBANK,2019-03-01,Mixed,Growth Funded by Debt
UNIONBANK,2021-03-01,Growth Funded by Debt,Reinvestor
UNITDSPR,2014-03-01,Reinvestor,Growth Funded by Debt
UNITDSPR,2015-03-01,Growth Funded by Debt,Unknown
UNITDSPR,2016-03-01,Unknown,Liquidating Assets
UNITDSPR,2017-03-01,Liquidating Assets,Reinvestor
UNITDSPR,2018-03-01,Reinvestor,Liquidating Assets
UNITDSPR,2019-03-01,Liquidating Assets,Reinvestor
UNITDSPR,2024-03-01,Reinvestor,Liquidating Assets
VBL,2015-12-01,Mixed,Reinvestor
VBL,2016-12-01,Reinvestor,Mixed
VBL,2018-12-01,Mixed,Reinvestor
VBL,2019-12-01,Reinvestor,Mixed
VBL,2020-12-01,Mixed,Reinvestor
VBL,2023-12-01,Reinvestor,Mixed
VEDL,2014-03-01,Mixed,Reinvestor
VEDL,2017-03-01,Reinvestor,Liquidating Assets
VEDL,2019-03-01,Liquidating Assets,Reinvestor
WIPRO,2018-03-01,Reinvestor,Liquidating Assets
WIPRO,2022-03-01,Liquidating Assets,Mixed
WIPRO,2023-03-01,Mixed,Reinvestor
WIPRO,2024-03-01,Reinvestor,Liquidating Assets
ZOMATO,2021-03-01,Distress Signal,Growth Funded by Debt
ZOMATO,2023-03-01,Growth Funded by Debt,Unknown
ZOMATO,2024-03-01,Unknown,Reinvestor
ZYDUSLIFE,2014-03-01,Mixed,Reinvestor
ZYDUSLIFE,2017-03-01,Reinvestor,Mixed
ZYDUSLIFE,2020-03-01,Mixed,Reinvestor
ZYDUSLIFE,2023-03-01,Reinvestor,Liquidating Assets
ZYDUSLIFE,2024-03-01,Liquidating Assets,Reinvestor
