Rank,company_id,broad_sector,return_on_equity_pct,debt_to_equity,operating_profit_margin_pct,asset_turnover,sales,score
1,BEL,Industrials,17100.0,3.7142857142857135,16.622021711546594,144.75510204081633,7093,18527.03018497685
2,BEL,Industrials,15183.333333333334,4.0,10.664753706360592,139.4,6273,16547.998087039694
3,BEL,Industrials,13600.0,3.0,14.191469776004908,141.69565217391303,6518,15001.147991515136
4,BEL,Industrials,11141.666666666668,2.083333333333333,18.94207234158281,141.42307692307693,7354,12554.006174905686
5,BEL,Industrials,10153.333333333334,1.9333333333333331,20.70240295748614,112.41558441558442,8656,11278.85824711333
6,BEL,Industrials,4744.047619047619,0.5119047619047619,24.921057825143084,125.88819875776396,20268,6022.731616831355
7,BEL,Industrials,4616.129032258064,1.5483870967741935,19.603884241899816,85.95867768595042,10401,5479.835822391728
8,BEL,Industrials,3981.333333333333,0.52,23.063042742754032,123.15277777777776,17734,5230.724153853865
9,BEL,Industrials,3851.020408163265,0.9591836734693876,23.914830647813226,96.53968253968254,12164,4830.740227473209
10,HAL,Industrials,3324.183006535948,0.0784313725490196,22.014622258326565,121.88118811881188,24620,4564.2251962569035
11,HAL,Industrials,3816.582914572864,0.6180904522613065,32.08913465652875,67.51333333333334,30381,4517.624478040113
12,BEL,Industrials,3559.322033898305,0.8305084745762712,22.779785952229076,92.82236842105264,14109,4502.020419315299
13,BEL,Industrials,3478.260869565217,0.8405797101449275,21.759500260281104,94.28220858895706,15368,4434.436658613619
14,BEL,Industrials,3318.181818181818,0.8,21.275447254781,106.29508196721312,12968,4394.40808510873
15,HAL,Industrials,3283.050847457627,0.2655367231638418,24.766042780748663,99.36531365313652,26928,4298.814659538102
16,HAL,Industrials,2249.305555555556,0.0416666666666666,23.341491128397863,123.02150537634408,22882,3502.4454337807283
17,HAL,Industrials,2059.4202898550725,0.0144927536231884,22.75588715318256,123.95953757225432,21445,3321.6266251945663
18,HAL,Industrials,1966.9172932330828,0.0150375939849624,18.027855153203344,105.58823529411764,17950,3040.6771253876127
19,HAL,Industrials,1763.9097744360904,0.0601503759398496,22.835865653738505,114.33142857142856,20008,2929.458422044716
20,HAL,Industrials,1528.4615384615386,0.023076923076923,18.683514228630056,111.56024096385542,18519,2662.5166930979535
21,HAL,Industrials,1664.9999999999998,0.15,14.786967418546364,95.2159090909091,16758,2630.446058327637
22,LT,Industrials,395.1456310679612,0.174757281553398,15.309166151613685,31.969931271477662,74426,728.4065371188175
23,LT,Industrials,303.41614906832297,0.0683229813664596,16.561243445340608,31.90322580645161,85054,638.3264207645151
24,LT,Industrials,245.11352418558735,0.1076011846001974,17.06099272264465,30.869375419744795,91929,569.7922592596781
25,LT,Industrials,216.0941176470588,0.0258823529411764,15.314174956982654,32.23525661459993,101122,553.5020352206291
26,LT,Industrials,206.2977099236641,0.0,15.20418618266979,24.748019017432647,109312,468.9820862806604
27,LT,Industrials,207.3575129533679,0.0,16.8035560605934,22.42514521266629,119683,448.4125211406242
28,LT,Industrials,208.80850194154917,0.0,16.910220381600354,20.29111644657863,135220,428.6298867889358
29,LT,Industrials,201.59141376757955,0.1687638786084382,16.880482908450897,16.500510493477027,145452,381.7893628247163
30,LT,Industrials,176.90306681270536,0.1092552026286966,17.252664014296325,12.70119559125724,135979,320.0751347132871
31,LT,Industrials,77.66510140873214,0.1034568888000799,13.506668535997433,8.027628521638107,221113,170.41348627310984
32,LT,Industrials,75.52434908389586,0.0928760848601735,14.817198553515034,7.8080575784676975,183341,167.49336257348614
33,LT,Industrials,72.92133258678611,0.018057110862262,15.5340177995285,7.608448376433988,156521,164.35926304203187
34,ADANIPORTS,Industrials,25.633406318423525,1.817328745699093,66.59211629857423,0.1700499168053244,3577,75.75273432806006
35,ADANIPORTS,Industrials,22.264064817984707,1.267488303092548,64.20191965872733,0.1945859946044409,8439,75.73696139183097
36,ADANIPORTS,Industrials,16.586183108307875,1.1778522387569397,69.22709163346613,0.168271164624172,12550,75.71746400044633
37,ADANIPORTS,Industrials,17.652968473424867,1.0701813136870306,63.20763048662016,0.2397264624309275,11323,72.556050447484
38,ADANIPORTS,Industrials,21.147723065531284,1.6543502406516104,64.38317625545083,0.1852025530806304,7109,70.83942244527232
39,ADANIPORTS,Industrials,21.58848118903855,1.651277287505806,63.42652795838751,0.1917586185399912,6152,70.41982245776792
40,HAVELLS,Industrials,42.94681202510737,0.0442682523951106,10.481959441664472,1.7310234784590837,7594,70.29632372741158
41,ABB,Industrials,32.46823465801568,0.0224384968910516,24.84185330825782,1.1263238975544,5849,68.34894197290699
42,ADANIPORTS,Industrials,16.596914492040046,1.1370425077958313,60.37528604118994,0.1940118271740867,10925,67.54189372701255
43,ADANIPORTS,Industrials,19.86309184255562,1.4807758128921849,60.43478260869565,0.1957288163066823,4830,67.44740448539623
44,ADANIPORTS,Industrials,15.3548827162833,0.937322369168972,58.36172363445772,0.2283010965905691,26711,66.62639362495699
45,ABB,Industrials,29.767879548306148,0.0354454203262233,22.54627033090297,1.1740561896400352,5349,63.70025757234724
46,ABB,Industrials,28.33333333333333,0.0539007092198581,22.023203745165887,1.1631155303030305,4913,61.44868528933094
47,SIEMENS,Industrials,42.83404380420402,0.0036748493311774,9.421426594075852,0.9041381611880528,10837,61.26010351684863
48,ADANIPORTS,Industrials,0.0,0.0,60.34876771086032,0.0,28443,60.34876771086032
49,HAVELLS,Industrials,40.29126213592233,0.680998613037448,9.446391030133146,1.6004934948407357,7135,58.93260198408835
50,ABB,Industrials,26.5564950038432,0.0588009223674096,21.392111368909514,1.1223958333333333,4310,58.58455548241194
51,ADANIPORTS,Industrials,11.843332297171278,1.1461944955883407,55.65745662713943,0.1741009681881051,17119,57.779853650308354
52,ABB,Industrials,25.12690355329949,0.0,11.731107205623902,1.9982440737489024,2276,56.84045149641241
53,ADANIPORTS,Industrials,14.868209136976075,1.1879640177554307,50.08843594710688,0.1917567065587803,11873,54.994571972116454
54,ABB,Industrials,24.439701173959445,0.0,13.630406290956753,1.665938864628821,2289,54.72949611120441
55,ADANIPORTS,Industrials,11.8773271056864,1.1772455881380952,52.498561289084975,0.1852473725824649,20852,54.455906239215075
56,ABB,Industrials,24.39325380501851,0.071986836692719,18.49499144881505,1.153932901043135,4093,53.70770589733772
57,ABB,Industrials,23.685764914353214,0.0,15.918738629472406,1.365066225165563,3298,53.255165795481254
58,ABB,Industrials,22.411128284389488,0.0,12.220205686630369,1.822491730981257,1653,52.856251280832424
59,ABB,Industrials,21.338912133891213,0.0,13.963274674827847,1.6175742574257426,2614,51.477929382976484
60,ABB,Industrials,22.41035856573705,0.0,16.444686055993476,1.2509350561033663,3679,51.36439518276419
61,ABB,Industrials,19.971160778658977,0.0,13.709955218739236,1.40513068731849,2903,47.73242287058311
62,BHEL,Industrials,21.90906412648532,0.0883171298569511,19.39144837740016,0.6809295719735999,48903,47.22663692505196
63,HAVELLS,Industrials,20.16611937415492,0.1006374348078037,15.195562780912308,1.1813149570718482,10457,46.16845737770767
64,HAVELLS,Industrials,21.17711771177117,0.2332233223322332,8.915918752952292,1.7685881370091896,8468,45.446684611493026
65,HAVELLS,Industrials,26.77070828331333,0.6326530612244898,9.650975034157248,1.5099399849962492,8051,45.19455255518817
66,HAVELLS,Industrials,19.923371647509576,0.102615358987173,12.73496914908882,1.324527226076214,13938,44.877459467488805
67,HAVELLS,Industrials,18.77084325869461,0.0223916150547879,11.803832026208678,1.409205372132065,10073,44.44281285567606
68,SIEMENS,Industrials,22.746331236897277,0.0,9.795064826432457,1.17690490253987,11955,44.310445088728436
69,HAVELLS,Industrials,17.721179624664877,0.0308310991957104,12.727944800394283,1.2282082324455206,8116,42.422895757557264
70,SIEMENS,Industrials,22.94313074066836,0.0048856752003126,9.448073463978035,0.9987708018154312,10563,42.330055470797575
71,GRASIM,Industrials,19.21961642163097,0.4858320191280459,21.226127772403167,0.6325272533599257,27909,41.91269653635293
72,HAVELLS,Industrials,17.067275412917954,0.040687525177924,10.118343195266272,1.4952143489101584,18590,41.730886845506575
73,HAVELLS,Industrials,17.045454545454543,0.0166975881261595,11.302966101694915,1.3346529054149583,9440,41.527973820037445
74,HAVELLS,Industrials,16.178690009055238,0.033655297313613,9.58547690852108,1.5157300349556333,16911,40.58491429399652
75,SIEMENS,Industrials,17.698769290877124,0.0181676108614963,13.9568345323741,0.8790861298865568,22240,40.264789013501826
76,HAVELLS,Industrials,15.07936507936508,0.0634920634920634,13.2952691680261,1.1861455108359134,6130,39.601168720829676
77,GRASIM,Industrials,13.527893713958008,0.2935291681269315,20.480758567150936,0.5748163258801218,36068,36.82152385864085
78,SIEMENS,Industrials,14.991976770841292,0.0133720485978451,12.718625345197914,0.9033539684006284,19554,36.61042131406704
79,SIEMENS,Industrials,14.785435630689204,0.0,9.543605964753729,0.8422134267011722,11065,32.75117586245465
80,SIEMENS,Industrials,13.290267011197244,0.0156761412575366,11.525591770975335,0.8025262320354071,16138,32.68435968995128
81,GRASIM,Industrials,13.66643534582466,0.447883414295628,17.348487522501856,0.5934933802580862,28331,32.47102252795109
82,SIEMENS,Industrials,12.144988396507902,0.0,11.38795475389789,0.8519338455528064,13084,32.05228160593386
83,HAL,Industrials,0.0,0.0,31.950953328625538,0.0,31154,31.950953328625538
84,GRASIM,Industrials,12.596157351708046,0.4559043348281016,17.13979180560791,0.5788740432388881,34487,30.96564624142382
85,SIEMENS,Industrials,10.85672972647307,0.0,10.371238765142634,0.8925083705357143,12795,30.153052196972848
