company_id,year,sales,return_on_equity_pct,debt_to_equity,free_cash_flow_cr,revenue_cagr_5yr,pat_cagr_5yr,operating_profit_margin_pct,interest_coverage,asset_turnover,dividend_payout_ratio_pct,composite_quality_score,broad_sector,sub_sector
ABB,Mar 2024,5849,32.46823465801568,0.0224384968910516,797.0,0,0,24.84185330825782,141.75,1.1263238975544,73.0,0,Industrials,Capital Goods
ADANIPOWER,Mar 2024,50351,48.27674122146251,0.8023177656738903,17651.0,0,0,36.20186292228556,8.297225501770956,0.5472399439185297,0.0,0,Energy,Power & Utilities
ASIANPAINT,Mar 2024,35495,29.677488252883386,0.1321016659547202,3556.0,0,0,21.3692069305536,41.00487804878049,1.187084044011906,58.0,0,Materials,Paints & Coatings
BAJAJ-AUTO,Mar 2024,44870,26.61418410330778,0.0660175402251225,6486.0,0,0,19.53420993982616,174.41666666666666,1.1404534363562424,29.0,0,Consumer Discretionary,Two Wheelers
BOSCHLTD,Mar 2024,16727,20.639920424403183,0.0032327586206896,1536.0,0,0,12.524660728164047,71.7843137254902,0.9638144626908672,44.0,0,Consumer Discretionary,Auto Ancillaries
BPCL,Mar 2024,448083,35.511337343822305,0.7218747934157467,25415.0,0,0,9.83790949444634,11.355507351168956,2.213651947949293,33.0,0,Energy,Oil & Gas Refining
BRITANNIA,Mar 2024,16769,54.14869322506978,0.5239786856127886,3050.0,0,0,18.88603971614288,20.59756097560976,1.8484347442680773,83.0,0,Consumer Staples,Food Products
COALINDIA,Mar 2024,142324,45.16982956605826,0.0788468512027076,13617.0,0,0,66.29380849329698,11.24178180085755,0.6018691588785047,42.0,0,Materials,Mining & Metals
DABUR,Mar 2024,12404,18.355969997972835,0.1383539428339752,1042.0,0,0,19.348597226701063,23.241935483870968,0.8205874569992061,53.0,0,Consumer Staples,Personal Products
DRREDDY,Mar 2024,28011,19.74233736816026,0.0708572237559283,509.0,0,0,28.321016743422227,51.707602339181285,0.7223053120165034,12.0,0,Healthcare,Pharmaceuticals
EICHERMOT,Mar 2024,16536,22.172346910501524,0.0232197284566361,890.0,0,0,26.179245283018872,114.70588235294116,0.7153796236210254,35.0,0,Consumer Discretionary,Two Wheelers
HAL,Mar 2024,30381,3816.582914572864,0.6180904522613065,1814.0,0,0,32.08913465652875,270.8837209302326,67.51333333333334,31.0,0,Industrials,Defence & Aerospace
HCLTECH,Mar 2024,109913,23.01393141233172,0.0843502336551279,15840.0,0,0,22.015594151738192,46.46112115732369,1.1101650405025958,90.0,0,Information Technology,IT Services
HEROMOTOCO,Mar 2024,37789,21.14243742584327,0.0342392225549466,3095.0,0,0,86.14676228532112,47.26850507982584,1.4449202768324858,75.0,0,Consumer Discretionary,Two Wheelers
HINDUNILVR,Mar 2024,61896,20.074973642078955,0.0289741887617634,10145.0,0,0,76.31672482874498,57.847001223990205,0.7885945801322478,96.0,0,Consumer Staples,FMCG
INDIGO,Mar 2024,68904,892.568306010929,0.0185792349726775,9424.0,0,0,76.29890862649484,22.61263972484953,56.38625204582652,0.0,0,Consumer Discretionary,Airlines
INFY,Mar 2024,153670,29.788006718416632,0.0948635889055336,20117.0,0,0,23.703390381987376,87.52340425531915,1.129760329363329,,0,Information Technology,IT Services
IOC,Mar 2024,776352,23.53162465856491,0.7230954600718581,39635.0,0,0,9.743776019125344,10.282324578099226,1.6084096601703397,40.0,0,Energy,Oil & Gas Refining
IRCTC,Mar 2024,4270,34.39628482972136,0.0185758513931888,667.0,0,0,34.33255269320843,82.73684210526316,0.7010343129207027,47.0,0,Consumer Discretionary,Travel & Tourism
ITC,Mar 2024,70866,27.851074395694365,0.0040667319849141,18742.0,0,0,37.0177518132814,362.9625,0.7723477995509732,84.0,0,Consumer Staples,Diversified FMCG
LICI,Mar 2024,845966,49.44710986501021,0.0,853.0,0,0,3.87474201090824,371.9375,0.1591344094587576,15.0,0,Financials,Life Insurance
LT,Mar 2024,221113,77.66510140873214,0.1034568888000799,20445.0,0,0,13.506668535997433,3.5441547518923464,8.027628521638107,36.0,0,Industrials,Engineering & Construction
LTIM,Mar 2024,35517,22.904386052552702,0.1034568888000799,1752.0,0,0,17.982937748120616,31.93243243243243,1.289464130119082,42.0,0,Information Technology,IT Services
NESTLEIND,Mar 2024,24394,117.75449101796409,0.1032934131736526,2938.0,0,0,23.829630236943512,41.18620689655173,2.318160220469448,79.0,0,Consumer Staples,Food Products
PIDILITIND,Mar 2024,12383,20.780302129178065,0.0454383252051861,955.0,0,0,21.868690947266412,54.333333333333336,1.0254223252732693,47.0,0,Materials,Specialty Chemicals
TCS,Mar 2024,240893,50.944313673485176,0.0886406082507266,50429.0,0,0,26.69068839692312,87.09511568123393,1.6559406621205457,58.0,0,Information Technology,IT Services
TORNTPHARM,Mar 2024,10728,24.15402567094516,0.5866394399066511,3106.0,0,0,31.3944817300522,9.926553672316384,0.7396070320579111,57.0,0,Healthcare,Pharmaceuticals
TRENT,Mar 2024,12375,36.30776794493609,0.4309242871189774,841.0,0,0,15.927272727272726,8.043478260869565,1.727869310248534,8.0,0,Consumer Discretionary,Retail
