,count,mean,std,min,10%,25%,50%,75%,90%,max
return_on_equity_pct,90.0,125.07713388312115,640.6142504918673,-5.334926929972293,8.361743764845407,11.612115350385197,16.27438209993858,26.083288417594787,48.39377808581729,4744.047619047619
debt_to_equity,90.0,1.687172986655207,2.8736913007584532,0.0,0.007722779206025612,0.0650861387723586,0.4377912621592087,1.6178558202347761,6.460590070261603,14.867419925542425
revenue_cagr_5yr,89.0,11.629775280898876,10.648848206766104,-10.03,-0.31199999999999983,4.69,10.69,16.68,23.322000000000006,59.2
free_cash_flow_cr,90.0,894.9222222222222,23384.774988996953,-101229.0,-14847.199999999999,-1340.0,1068.5,8545.5,20818.10000000003,50429.0
operating_profit_margin_pct,90.0,34.899048856337444,27.578131937448248,-13.729168991026642,9.82849614691424,16.41400149671069,26.006450869504782,40.954102654938524,84.25349024470464,102.02531365231933
